"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"SM-R885FZKADBT","de","null","null","null","null","null","null"
"SM-R885FZSADBT","de","null","null","null","null","null","null"
"DV81TA220AE","de","null","null","null","null","null","null"
"SM-R895FZSADBT","de","null","null","null","null","null","null"
"SM-R895FZKADBT","de","null","null","null","null","null","null"
"MZ-77E250","de","null","null","null","null","null","null"
"SM-R880NZKDWEU","de","null","null","null","null","null","null"
"SM-R880NZKADBT","de","null","null","null","null","null","null"
"SM-R880NZSDWEU","de","null","null","null","null","null","null"
"VS20T75D6R5","de","null","null","null","null","null","null"
"SM-R890NZKDWEU","de","null","null","null","null","null","null"
"SM-R890NZKADBT","de","null","null","null","null","null","null"
"SM-R890NZSDWEU","de","null","null","null","null","null","null"
"SM-R890NZSADBT","de","null","null","null","null","null","null"
"MA-CF","de","null","null","null","null","null","null"
"SM-R900NZSDWEU","de","null","null","null","null","null","null"
"SM-R900NZADWEU","de","null","null","null","null","null","null"
"SM-R900NZSADBT","de","null","null","null","null","null","null"
"SM-R900NZAADBT","de","null","null","null","null","null","null"
"SM-R900NZDADBT","de","null","null","null","null","null","null"
"SM-R900NZDDWEU","de","null","null","null","null","null","null"
"RL38T630DS9","de","null","null","null","null","null","null"
"SM-R905FZSADBT","de","null","null","null","null","null","null"
"SM-R905FZAADBT","de","null","null","null","null","null","null"
"SM-R905FZDADBT","de","null","null","null","null","null","null"
"RR39A746339","de","null","null","null","null","null","null"
"SM-R910NZSDWEU","de","null","null","null","null","null","null"
"SM-R910NZADWEU","de","null","null","null","null","null","null"
"SM-R910NZBDWEU","de","null","null","null","null","null","null"
"SM-R910NZBADBT","de","null","null","null","null","null","null"
"SM-R910NZAADBT","de","null","null","null","null","null","null"
"SM-R910NZSADBT","de","null","null","null","null","null","null"
"MU-PC500R","de","null","null","null","null","null","null"
"SM-R915FZAADBT","de","null","null","null","null","null","null"
"SM-R915FZSADBT","de","null","null","null","null","null","null"
"SM-R915FZBADBT","de","null","null","null","null","null","null"
"EJ-M3400","de","null","null","null","null","null","null"
"GP-TYR905HCASW","de","null","null","null","null","null","null"
"GP-TYR905HCABW","de","null","null","null","null","null","null"
"SKK-UD","de","null","null","null","null","null","null"
"SM-R920NZKADBT","de","null","null","null","null","null","null"
"SM-R920NZTDWEU","de","null","null","null","null","null","null"
"SM-R920NZKDWEU","de","null","null","null","null","null","null"
"SM-R920NZTADBT","de","null","null","null","null","null","null"
"RL38A7B5BS9","de","null","null","null","null","null","null"
"SM-R925FZTADBT","de","null","null","null","null","null","null"
"SM-R925FZKADBT","de","null","null","null","null","null","null"
"EF-QX200","de","null","null","null","null","null","null"
"ET-SFR92LBEGEU","de","null","null","null","null","null","null"
"ET-SFR92LJEGEU","de","null","null","null","null","null","null"
"GP-TYR890BRB","de","null","null","null","null","null","null"
"ET-SRR87MWEGEU","de","null","null","null","null","null","null"
"EP-T1510N","de","null","null","null","null","null","null"
"ET-SXR90SKEGEU","de","null","null","null","null","null","null"
"ET-SXR90SJEGEU","de","null","null","null","null","null","null"
"ET-SXR90SSEGEU","de","null","null","null","null","null","null"
"VG-SCFT32","de","null","null","null","null","null","null"
"ET-SFR91LVEGEU","de","null","null","null","null","null","null"
"ET-SFR91LLEGEU","de","null","null","null","null","null","null"
"ET-SFR91LJEGEU","de","null","null","null","null","null","null"
"ET-SFR91LWEGEU","de","null","null","null","null","null","null"
"ET-SFR91LZEGEU","de","null","null","null","null","null","null"
"LS32BM80","de","null","null","null","null","null","null"
"ET-SFR90SLEGEU","de","null","null","null","null","null","null"
"ET-SFR90SVEGEU","de","null","null","null","null","null","null"
"ET-SFR90SZEGEU","de","null","null","null","null","null","null"
"ET-SFR90SJEGEU","de","null","null","null","null","null","null"
"ET-SFR90SWEGEU","de","null","null","null","null","null","null"
"VG-STCB","de","null","null","null","null","null","null"
"ET-STR91LJEGEU","de","null","null","null","null","null","null"
"ET-STR91LREGEU","de","null","null","null","null","null","null"
"ET-STR91LNEGEU","de","null","null","null","null","null","null"
"GQ43LS05","de","null","null","null","null","null","null"
"ET-STR90SREGEU","de","null","null","null","null","null","null"
"ET-STR90SNEGEU","de","null","null","null","null","null","null"
"ET-STR90SJEGEU","de","null","null","null","null","null","null"
"RZ32A748541","de","null","null","null","null","null","null"
"SM-G525FZKDEEB","de","null","null","null","null","null","null"
"EF-ZS908","de","null","null","null","null","null","null"
"SM-G715FZKDE28","de","null","null","null","null","null","null"
"EF-QS901","de","null","null","null","null","null","null"
"SM-G736BZKDEEB","de","null","null","null","null","null","null"
"EP-P5400B","de","null","null","null","null","null","null"
"SM-F711BLIBEUB","de","null","null","null","null","null","null"
"SM-F711BLVFEUB","de","null","null","null","null","null","null"
"SM-F711BLVBEUB","de","null","null","null","null","null","null"
"F27T350FHR","de","null","null","null","null","null","null"
"SM-F711BZEFEUB","de","null","null","null","null","null","null"
"SM-F711BZEBEUB","de","null","null","null","null","null","null"
"SM-F711BZGFEUB","de","null","null","null","null","null","null"
"SM-F711BLIEEUB","de","null","null","null","null","null","null"
"SM-F711BZGBEUB","de","null","null","null","null","null","null"
"SM-F711BZKBEUB","de","null","null","null","null","null","null"
"SM-F711BZKFEUB","de","null","null","null","null","null","null"
"VCA-SHF","de","null","null","null","null","null","null"
"F-B2-ValuePack4","de","null","null","null","null","null","null"
"F-B2-ValuePack5","de","null","null","null","null","null","null"
"F-B2-ValuePack3","de","null","null","null","null","null","null"
"F-B2-ValuePack2","de","null","null","null","null","null","null"
"F-B2-ValuePack1","de","null","null","null","null","null","null"
"U32J590UQR","de","null","null","null","null","null","null"
"SM-F711B1GFEUB","de","null","null","null","null","null","null"
"SM-F711B1SFEUB","de","null","null","null","null","null","null"
"SM-F711B1WFEUB","de","null","null","null","null","null","null"
"SM-F711B1VFEUB","de","null","null","null","null","null","null"
"SM-F711B1IFEUB","de","null","null","null","null","null","null"
"SM-F711B1LFEUB","de","null","null","null","null","null","null"
"SM-F711B1CFEUB","de","null","null","null","null","null","null"
"SM-F711B1OFEUB","de","null","null","null","null","null","null"
"SM-F711B1NFEUB","de","null","null","null","null","null","null"
"SM-F711B1TFEUB","de","null","null","null","null","null","null"
"SM-F711B1JFEUB","de","null","null","null","null","null","null"
"SM-F711B1EFEUB","de","null","null","null","null","null","null"
"SM-F711B1RFEUB","de","null","null","null","null","null","null"
"SM-F711B1FFEUB","de","null","null","null","null","null","null"
"SM-F711B1XFEUB","de","null","null","null","null","null","null"
"SM-F711B1QFEUB","de","null","null","null","null","null","null"
"SM-F711B1KFEUB","de","null","null","null","null","null","null"
"SM-F711B1PFEUB","de","null","null","null","null","null","null"
"SM-F711B1DFEUB","de","null","null","null","null","null","null"
"SM-F711B1MFEUB","de","null","null","null","null","null","null"
"SM-F711B1HFEUB","de","null","null","null","null","null","null"
"SM-F711B1BFEUB","de","null","null","null","null","null","null"
"SM-F711B1UFEUB","de","null","null","null","null","null","null"
"SM-F711B1YFEUB","de","null","null","null","null","null","null"
"MB-SD256H","de","null","null","null","null","null","null"
"SM-F711B4SFEUB","de","null","null","null","null","null","null"
"SM-F711B4UFEUB","de","null","null","null","null","null","null"
"SM-F711B4TFEUB","de","null","null","null","null","null","null"
"SM-F711B4QFEUB","de","null","null","null","null","null","null"
"SM-F711B4NFEUB","de","null","null","null","null","null","null"
"SM-F711B4EFEUB","de","null","null","null","null","null","null"
"SM-F711B4YFEUB","de","null","null","null","null","null","null"
"SM-F711B4CFEUB","de","null","null","null","null","null","null"
"SM-F711B4IFEUB","de","null","null","null","null","null","null"
"SM-F711B4WFEUB","de","null","null","null","null","null","null"
"SM-F711B4DFEUB","de","null","null","null","null","null","null"
"SM-F711B4GFEUB","de","null","null","null","null","null","null"
"SM-F711B4OFEUB","de","null","null","null","null","null","null"
"SM-F711B4PFEUB","de","null","null","null","null","null","null"
"SM-F711B4MFEUB","de","null","null","null","null","null","null"
"SM-F711B4BFEUB","de","null","null","null","null","null","null"
"SM-F711B4RFEUB","de","null","null","null","null","null","null"
"SM-F711B4KFEUB","de","null","null","null","null","null","null"
"SM-F711B4HFEUB","de","null","null","null","null","null","null"
"SM-F711B4XFEUB","de","null","null","null","null","null","null"
"SM-F711B4JFEUB","de","null","null","null","null","null","null"
"SM-F711B4AFEUB","de","null","null","null","null","null","null"
"SM-F711B4LFEUB","de","null","null","null","null","null","null"
"SM-F711B4VFEUB","de","null","null","null","null","null","null"
"SM-F711B4FFEUB","de","null","null","null","null","null","null"
"ET-YSN60","de","null","null","null","null","null","null"
"SM-F721BZAPEUB","de","null","null","null","null","null","null"
"SM-F721BLVPEUB","de","null","null","null","null","null","null"
"SM-F721BZAHEUB","de","null","null","null","null","null","null"
"SM-F721BLVHEUB","de","null","null","null","null","null","null"
"SM-F721BLBHEUB","de","null","null","null","null","null","null"
"SM-F721BZDHEUB","de","null","null","null","null","null","null"
